"PY","Papers"
"2021","3033074"
"2020","2709215"
"2019","2449815"
"2018","2299471"
"2017","2186497"
"2016","2145295"
"2015","2089742"
"2014","2024068"
"2013","1943528"
"2012","1824865"
"2011","1739965"
"2010","1621730"
"2009","1574925"
"2008","1485677"
"2007","1434659"
"2006","1366697"
"2005","1260392"
"2004","1184221"
"2003","1113525"
"2002","1074246"
"2001","1057610"
"2000","1042258"
"1999","1009890"
"1998","986581"
"1997","976234"
"1996","963293"
"1995","835724"
"1994","808368"
"1993","770373"
"1992","733446"
"1991","735152"
"1990","722943"
